transaction_id,user_id,timestamp,direction,amount_eur,currency,transaction_type,merchant_name,merchant_category,merchant_country,channel,entry_mode,device_id,ip_country,is_international,is_recurring,recurring_name,beneficiary_id,is_fraud,fraud_type,user_home_city,hour,day_of_week,is_weekend,home_country,home_city,employment_status,segment,has_2fa,credit_score,risk_profile,merchant_seen_before,device_seen_before,potential_loss_eur,review_cost_eur,fraud_loss_eur
T0000001,U00001,2026-01-28T09:36:00+01:00,credit,2110.9,EUR,INCOMING,Salary / Incoming Transfer,income,DE,bank_transfer,not_applicable,U00001-DEV1,AT,0,1,Salary / Incoming Transfer,none,0,none,,9,2,0,AT,Frankfurt,employed,Mass,1,591,medium,0,1,0.0,2.5,0.0
T0000002,U00001,2026-02-27T09:40:00+01:00,credit,2050.44,EUR,INCOMING,Salary / Incoming Transfer,income,DE,bank_transfer,not_applicable,U00001-DEV1,AT,0,1,Salary / Incoming Transfer,none,0,none,,9,4,0,AT,Frankfurt,employed,Mass,1,591,medium,1,1,0.0,2.5,0.0
T0000003,U00001,2026-03-26T09:28:00+01:00,credit,2129.05,EUR,INCOMING,Salary / Incoming Transfer,income,DE,bank_transfer,not_applicable,U00001-DEV1,AT,0,1,Salary / Incoming Transfer,none,0,none,,9,3,0,AT,Frankfurt,employed,Mass,1,591,medium,1,1,0.0,2.5,0.0
T0000004,U00001,2026-01-02T10:02:00+01:00,debit,667.3,EUR,DIRECT_DEBIT,Hausverwaltung Lindenhof,rent,DE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Rent,none,0,none,,10,4,0,AT,Frankfurt,employed,Mass,1,591,medium,0,0,667.3,2.5,0.0
T0000005,U00001,2026-02-02T10:59:00+01:00,debit,659.9,EUR,DIRECT_DEBIT,Mietservice Sonnenallee,rent,DE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Rent,none,0,none,,10,0,0,AT,Frankfurt,employed,Mass,1,591,medium,0,1,659.9,2.5,0.0
T0000006,U00001,2026-03-02T10:33:00+01:00,debit,650.88,EUR,DIRECT_DEBIT,Mietservice Sonnenallee,rent,DE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Rent,none,0,none,,10,0,0,AT,Frankfurt,employed,Mass,1,591,medium,1,1,650.88,2.5,0.0
T0000007,U00001,2026-01-14T10:49:00+01:00,debit,46.66,EUR,DIRECT_DEBIT,TeleCom Billing,phone_internet,DE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Internet/Phone,none,0,none,,10,2,0,AT,Frankfurt,employed,Mass,1,591,medium,0,1,46.66,2.5,0.0
T0000008,U00001,2026-02-14T10:37:00+01:00,debit,37.42,EUR,DIRECT_DEBIT,FiberHome Internet,phone_internet,DE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Internet/Phone,none,0,none,,10,5,1,AT,Frankfurt,employed,Mass,1,591,medium,0,1,37.42,2.5,0.0
T0000009,U00001,2026-03-14T10:51:00+01:00,debit,37.43,EUR,DIRECT_DEBIT,TeleCom Billing,phone_internet,DE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Internet/Phone,none,0,none,,10,5,1,AT,Frankfurt,employed,Mass,1,591,medium,1,1,37.43,2.5,0.0
T0000010,U00001,2026-01-20T10:50:00+01:00,debit,18.68,EUR,CARD,CloudDrive Pro,subscription,US,card,chip,U00001-DEV1,AT,1,1,Streaming,none,0,none,,10,1,0,AT,Frankfurt,employed,Mass,1,591,medium,1,1,18.68,2.5,0.0
T0000011,U00001,2026-02-20T10:11:00+01:00,debit,12.79,EUR,CARD,CloudDrive Pro,subscription,US,card,chip,U00001-DEV1,AT,1,1,Streaming,none,0,none,,10,4,0,AT,Frankfurt,employed,Mass,1,591,medium,1,1,12.79,2.5,0.0
T0000012,U00001,2026-03-20T10:26:00+01:00,debit,16.25,EUR,CARD,StreamFlix,subscription,IE,card,chip,U00001-DEV1,AT,1,1,Streaming,none,0,none,,10,4,0,AT,Frankfurt,employed,Mass,1,591,medium,1,1,16.25,2.5,0.0
T0000013,U00001,2026-01-06T10:09:00+01:00,debit,35.89,EUR,DIRECT_DEBIT,StreamFlix,subscription,IE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Gym,none,0,none,,10,1,0,AT,Frankfurt,employed,Mass,1,591,medium,0,1,35.89,2.5,0.0
T0000014,U00001,2026-02-06T10:24:00+01:00,debit,30.47,EUR,DIRECT_DEBIT,CloudDrive Pro,subscription,US,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Gym,none,0,none,,10,4,0,AT,Frankfurt,employed,Mass,1,591,medium,1,1,30.47,2.5,0.0
T0000015,U00001,2026-03-06T10:53:00+01:00,debit,27.95,EUR,DIRECT_DEBIT,GymFit,subscription,DE,direct_debit,not_applicable,U00001-DEV1,AT,1,1,Gym,none,0,none,,10,4,0,AT,Frankfurt,employed,Mass,1,591,medium,0,1,27.95,2.5,0.0
T0000016,U00002,2026-01-02T10:07:00+01:00,debit,682.62,EUR,DIRECT_DEBIT,Wohnbau GmbH,rent,DE,direct_debit,not_applicable,U00002-DEV1,DE,0,1,Rent,none,0,none,,10,4,0,DE,Cologne,employed,Mass,1,692,low,0,0,682.62,2.5,0.0
T0000017,U00002,2026-02-02T10:40:00+01:00,debit,713.0,EUR,DIRECT_DEBIT,Wohnbau GmbH,rent,DE,direct_debit,not_applicable,U00002-DEV1,DE,0,1,Rent,none,0,none,,10,0,0,DE,Cologne,employed,Mass,1,692,low,1,1,713.0,2.5,0.0
T0000018,U00002,2026-03-02T10:45:00+01:00,debit,611.03,EUR,DIRECT_DEBIT,Hausverwaltung Lindenhof,rent,DE,direct_debit,not_applicable,U00002-DEV1,DE,0,1,Rent,none,0,none,,10,0,0,DE,Cologne,employed,Mass,1,692,low,0,1,611.03,2.5,0.0
T0000019,U00002,2026-01-14T10:08:00+01:00,debit,64.25,EUR,DIRECT_DEBIT,FiberHome Internet,phone_internet,DE,direct_debit,not_applicable,U00002-DEV1,DE,0,1,Internet/Phone,none,0,none,,10,2,0,DE,Cologne,employed,Mass,1,692,low,0,1,64.25,2.5,0.0
T0000020,U00002,2026-02-14T10:13:00+01:00,debit,46.0,EUR,DIRECT_DEBIT,TeleCom Billing,phone_internet,DE,direct_debit,not_applicable,U00002-DEV1,DE,0,1,Internet/Phone,none,0,none,,10,5,1,DE,Cologne,employed,Mass,1,692,low,0,1,46.0,2.5,0.0
T0000021,U00002,2026-03-14T10:21:00+01:00,debit,38.7,EUR,DIRECT_DEBIT,FiberHome Internet,phone_internet,DE,direct_debit,not_applicable,U00002-DEV1,DE,0,1,Internet/Phone,none,0,none,,10,5,1,DE,Cologne,employed,Mass,1,692,low,1,1,38.7,2.5,0.0
T0000022,U00002,2026-01-20T10:49:00+01:00,debit,6.74,EUR,CARD,MusicBox,subscription,LU,card,chip,U00002-DEV1,DE,1,1,Streaming,none,0,none,,10,1,0,DE,Cologne,employed,Mass,1,692,low,1,1,6.74,2.5,0.0
T0000023,U00002,2026-02-20T10:46:00+01:00,debit,11.86,EUR,CARD,StreamFlix,subscription,IE,card,chip,U00002-DEV1,DE,1,1,Streaming,none,0,none,,10,4,0,DE,Cologne,employed,Mass,1,692,low,1,1,11.86,2.5,0.0
T0000024,U00002,2026-03-20T10:29:00+01:00,debit,15.52,EUR,CARD,MusicBox,subscription,LU,card,chip,U00002-DEV1,DE,1,1,Streaming,none,0,none,,10,4,0,DE,Cologne,employed,Mass,1,692,low,1,1,15.52,2.5,0.0
T0000025,U00003,2026-01-06T10:51:00+01:00,debit,23.35,EUR,DIRECT_DEBIT,StreamFlix,subscription,IE,direct_debit,not_applicable,U00003-DEV1,IT,1,1,Gym,none,0,none,,10,1,0,IT,Frankfurt,employed,Mass,1,694,medium,0,1,23.35,2.5,0.0
T0000026,U00003,2026-02-06T10:25:00+01:00,debit,31.64,EUR,DIRECT_DEBIT,MusicBox,subscription,LU,direct_debit,not_applicable,U00003-DEV1,IT,1,1,Gym,none,0,none,,10,4,0,IT,Frankfurt,employed,Mass,1,694,medium,1,1,31.64,2.5,0.0
T0000027,U00003,2026-03-06T10:20:00+01:00,debit,31.82,EUR,DIRECT_DEBIT,CloudDrive Pro,subscription,US,direct_debit,not_applicable,U00003-DEV1,IT,1,1,Gym,none,0,none,,10,4,0,IT,Frankfurt,employed,Mass,1,694,medium,1,1,31.82,2.5,0.0
T0000028,U00004,2026-01-25T09:14:00+01:00,credit,3718.91,EUR,INCOMING,Salary / Incoming Transfer,income,DE,bank_transfer,not_applicable,U00004-DEV1,DE,0,1,Salary / Incoming Transfer,none,0,none,,9,6,1,DE,Leipzig,employed,Mass,1,709,low,0,1,0.0,2.5,0.0
T0000029,U00004,2026-02-28T09:22:00+01:00,credit,3666.75,EUR,INCOMING,Salary / Incoming Transfer,income,DE,bank_transfer,not_applicable,U00004-DEV1,DE,0,1,Salary / Incoming Transfer,none,0,none,,9,5,1,DE,Leipzig,employed,Mass,1,709,low,1,1,0.0,2.5,0.0
