user_id,age,employment_status,segment,home_country,home_city,account_open_date,account_age_days,has_2fa,device_count,credit_score,risk_profile,kyc_tier,monthly_income_eur,avg_monthly_spend_eur
U00001,35,employed,Mass,AT,Frankfurt,2024-10-14,533,1,2,591,medium,standard,1961.65,1369.86
U00002,39,employed,Mass,DE,Cologne,2024-10-26,521,1,2,692,low,standard,2696.65,1865.57
U00003,25,employed,Mass,IT,Frankfurt,2025-03-11,385,1,1,694,medium,standard,2336.53,1631.33
U00004,27,employed,Mass,DE,Leipzig,2025-12-27,94,1,1,709,low,standard,3497.47,3087.93
U00005,36,student,Student,DE,Stuttgart,2026-03-17,14,1,1,674,medium,standard,838.12,614.81
U00006,42,employed,Mass,DE,Hamburg,2024-02-28,762,1,1,569,medium,standard,3682.35,2472.99
U00007,27,self_employed,Affluent,DE,Stuttgart,2024-01-19,802,1,1,614,low,basic,2959.12,2555.38
U00008,33,student,Student,DE,Munich,2025-04-04,361,1,1,647,medium,standard,954.37,583.05
U00009,25,employed,Mass,DE,Munich,2024-05-09,691,1,2,583,low,enhanced,1903.97,1249.67
U00010,35,employed,Mass,AT,Hamburg,2026-03-17,14,1,1,612,high,standard,3377.87,2640.44
U00011,24,employed,Mass,FR,Berlin,2024-07-31,608,1,2,766,medium,basic,3142.0,2348.94
U00012,42,employed,Mass,DE,Leipzig,2024-02-09,781,1,1,614,medium,standard,2655.56,2478.76
U00013,46,employed,Mass,NL,Berlin,2025-08-12,231,0,1,610,medium,basic,2443.11,1772.63
U00014,30,student,Student,NL,Berlin,2024-06-23,646,1,2,569,medium,basic,1568.78,1345.16
U00015,20,employed,Mass,ES,Stuttgart,2023-10-20,893,1,1,620,medium,standard,3323.45,2512.6
U00016,33,student,Student,ES,Munich,2024-08-08,600,1,2,593,high,standard,908.48,688.21
U00017,38,student,Student,AT,Hamburg,2023-01-19,1167,1,1,680,high,basic,1553.28,949.54
U00018,19,student,Student,DE,Frankfurt,2024-06-01,668,1,1,646,medium,basic,1442.62,869.51
U00019,21,employed,Mass,DE,Hamburg,2024-09-26,551,1,2,649,medium,standard,2367.41,1587.07
U00020,41,student,Student,DE,Cologne,2025-11-24,127,0,2,656,medium,standard,981.67,704.49
U00021,26,employed,Mass,DE,Munich,2025-06-13,291,0,1,688,low,standard,700.0,533.62
U00022,48,employed,Mass,FR,Stuttgart,2026-03-17,14,1,1,737,medium,standard,5242.17,3379.44
U00023,18,employed,Mass,NL,Stuttgart,2023-12-17,835,1,1,773,low,basic,3378.24,2242.77
U00024,26,student,Student,DE,Berlin,2024-08-09,599,1,1,636,medium,standard,1073.11,806.78
U00025,28,student,Student,FR,Cologne,2024-06-30,639,1,1,693,low,standard,560.66,495.27
U00026,18,self_employed,Affluent,ES,Berlin,2024-09-18,559,0,1,603,medium,standard,3161.74,1909.13
U00027,18,employed,Mass,DE,Stuttgart,2024-06-05,664,1,2,687,low,standard,4800.09,3345.68
U00028,28,employed,Mass,DE,Stuttgart,2023-07-18,987,1,1,748,high,standard,3383.0,3008.92
U00029,29,student,Student,NL,Cologne,2024-09-11,566,1,2,599,medium,standard,1359.94,799.69
U00030,18,student,Student,DE,Cologne,2025-06-30,274,0,1,638,medium,standard,595.2,387.68
U00031,23,employed,Mass,DE,Cologne,2024-05-03,697,1,1,532,medium,standard,4677.83,3694.73
U00032,18,student,Student,DE,Frankfurt,2023-08-28,946,1,1,720,medium,standard,1031.51,881.95
U00033,27,student,Student,DE,Cologne,2025-07-17,257,0,1,606,low,standard,662.21,570.91
U00034,40,employed,Mass,DE,Hamburg,2026-03-17,14,0,1,703,medium,standard,4664.68,3845.74
U00035,18,employed,Mass,DE,Leipzig,2026-03-17,14,1,1,696,high,standard,700.0,631.18
U00036,35,unemployed,Mass,FR,Leipzig,2024-03-20,741,1,1,678,low,enhanced,438.6,266.32
U00037,33,student,Student,DE,Berlin,2026-03-17,14,1,2,719,medium,standard,200.0,200.0
U00038,30,employed,Mass,ES,Stuttgart,2023-05-12,1054,0,1,665,low,standard,3001.34,2672.55
U00039,25,employed,Mass,AT,Berlin,2024-04-10,720,0,1,587,low,standard,2755.8,2297.88
U00040,24,unemployed,Mass,DE,Munich,2024-05-23,677,1,1,695,medium,standard,1046.2,701.51
U00041,39,student,Student,DE,Munich,2024-09-11,566,1,1,690,medium,basic,1006.07,675.96
U00042,28,employed,Mass,DE,Frankfurt,2025-03-31,365,1,2,574,medium,standard,2577.49,1906.45
U00043,25,employed,Mass,DE,Hamburg,2025-12-15,106,1,1,707,medium,standard,2906.97,2018.2
U00044,29,self_employed,Affluent,AT,Cologne,2025-08-27,216,1,1,659,medium,standard,4598.38,4077.83
U00045,26,student,Student,DE,Cologne,2023-05-08,1058,1,1,649,medium,standard,1263.31,998.44
U00046,24,unemployed,Mass,DE,Hamburg,2025-01-28,427,1,2,636,medium,standard,679.84,376.83
U00047,22,employed,Mass,DE,Cologne,2024-12-19,467,0,2,611,medium,enhanced,4444.2,3142.18
U00048,31,employed,Mass,AT,Munich,2026-03-17,14,1,2,613,high,basic,3601.22,2686.79
U00049,18,self_employed,Affluent,DE,Berlin,2024-07-22,617,1,1,659,medium,standard,2087.2,1598.4
U00050,34,employed,Mass,FR,Berlin,2025-11-04,147,0,1,664,high,standard,1531.08,1147.59
U00051,32,employed,Mass,DE,Berlin,2025-06-13,291,1,1,724,low,basic,3503.27,2357.75
U00052,31,employed,Mass,DE,Hamburg,2025-01-11,444,1,1,582,medium,standard,3299.8,2766.15
